_id,region,day,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,pressure
ObjectId(63e4bbd04e31320bce166da7),Corse,2020-09-28T00:00:00.000Z,20,14,9,84,10,54,104
ObjectId(63e4bbd04e31320bce166da8),Corse,2020-09-29T00:00:00.000Z,20,13,9,80,10,28,113
ObjectId(63e4bbd04e31320bce166da9),Grand Est,2020-08-31T00:00:00.000Z,19.5,12.5,13.5,90.5,9.0625,73,77
ObjectId(63e4bbd04e31320bce166daa),Grand Est,2020-09-01T00:00:00.000Z,21.5,13,8.5,82,10,39,34
ObjectId(63e4bbd04e31320bce166dab),Grand Est,2020-09-02T00:00:00.000Z,22,13,10,78,10,38,113
ObjectId(63e4bbd04e31320bce166dac),Grand Est,2020-09-03T00:00:00.000Z,27.5,15.5,11.5,67.5,10,20.5,68
ObjectId(63e4bbd04e31320bce166dad),Grand Est,2020-09-04T00:00:00.000Z,23.5,17,15,80.5,9.875,45.5,115
ObjectId(63e4bbd04e31320bce166dae),Grand Est,2020-09-05T00:00:00.000Z,18.5,12.5,8,80.5,10,52,133
ObjectId(63e4bbd04e31320bce166daf),Grand Est,2020-09-06T00:00:00.000Z,21.5,11,12,76.5,10,16.5,97
ObjectId(63e4bbd04e31320bce166db0),Grand Est,2020-09-07T00:00:00.000Z,26,12.5,4.5,74,10,2.5,186
ObjectId(63e4bbd04e31320bce166db1),Grand Est,2020-09-08T00:00:00.000Z,27,14.5,9,68.5,10,10,98
ObjectId(63e4bbd04e31320bce166db2),Grand Est,2020-09-09T00:00:00.000Z,21.5,16.5,15.5,84,10,52.5,144
ObjectId(63e4bbd04e31320bce166db3),Grand Est,2020-09-10T00:00:00.000Z,25.5,14,7.5,80,10,21.5,32
ObjectId(63e4bbd04e31320bce166db4),Grand Est,2020-09-11T00:00:00.000Z,27,15.5,8.5,74.5,10,11.5,96
ObjectId(63e4bbd04e31320bce166db5),Grand Est,2020-09-12T00:00:00.000Z,27.5,15.5,6,73,10,3,198
ObjectId(63e4bbd04e31320bce166db6),Grand Est,2020-09-13T00:00:00.000Z,29,16,6.5,79,10,24,200
ObjectId(63e4bbd04e31320bce166db7),Grand Est,2020-09-14T00:00:00.000Z,31,19,6.5,75,10,7.5,39
ObjectId(63e4bbd04e31320bce166db8),Grand Est,2020-09-15T00:00:00.000Z,29,19.5,6,64,9.6875,55.5,166
ObjectId(63e4bbd04e31320bce166db9),Grand Est,2020-09-16T00:00:00.000Z,23.5,16,21,86.5,9.9375,31,109
ObjectId(63e4bbd04e31320bce166dba),Grand Est,2020-09-17T00:00:00.000Z,26.5,14,17,81,10,1.5,62
ObjectId(63e4bbd04e31320bce166dbb),Grand Est,2020-09-18T00:00:00.000Z,25,14.5,8,83.5,10,20,91
ObjectId(63e4bbd04e31320bce166dbc),Grand Est,2020-09-19T00:00:00.000Z,24,14.5,12.5,72,9.875,26,99
ObjectId(63e4bbd04e31320bce166dbd),Grand Est,2020-09-20T00:00:00.000Z,26,13,4.5,73,10,6.5,95
ObjectId(63e4bbd04e31320bce166dbe),Grand Est,2020-09-21T00:00:00.000Z,25.5,13.5,10.5,71,10,17,172
ObjectId(63e4bbd04e31320bce166dbf),Grand Est,2020-09-22T00:00:00.000Z,22.5,13.5,14,83,9.25,50,158
ObjectId(63e4bbd04e31320bce166dc0),Grand Est,2020-09-23T00:00:00.000Z,19.5,14.5,19,88,9.875,78,85
ObjectId(63e4bbd04e31320bce166dc1),Grand Est,2020-09-24T00:00:00.000Z,13,9,22.5,83,9.25,78,193
ObjectId(63e4bbd04e31320bce166dc2),Grand Est,2020-09-25T00:00:00.000Z,9,8,29.5,86.5,7.5,98,51
ObjectId(63e4bbd04e31320bce166dc3),Grand Est,2020-09-26T00:00:00.000Z,11.5,8.5,25,92,8.1875,79,159
ObjectId(63e4bbd04e31320bce166dc4),Grand Est,2020-09-27T00:00:00.000Z,14.5,6.5,11,90,9,54,187
ObjectId(63e4bbd04e31320bce166dc5),Grand Est,2020-09-28T00:00:00.000Z,13.5,10.5,14,93.5,7.8125,95.5,198
ObjectId(63e4bbd04e31320bce166dc6),Grand Est,2020-09-29T00:00:00.000Z,18.5,11.5,5.5,92.5,8.25,57.5,186
ObjectId(63e4bbd04e31320bce166dc7),Hauts-de-France,2020-08-31T00:00:00.000Z,18,11,14,87.5,10,47.5,145
ObjectId(63e4bbd04e31320bce166dc8),Hauts-de-France,2020-09-01T00:00:00.000Z,20,11,7.5,85.5,10,9,129
ObjectId(63e4bbd04e31320bce166dc9),Hauts-de-France,2020-09-02T00:00:00.000Z,23,15,22.5,65,9.1875,79.5,8
ObjectId(63e4bbd04e31320bce166dca),Hauts-de-France,2020-09-03T00:00:00.000Z,21,17,16,93.5,9,82,142
ObjectId(63e4bbd04e31320bce166dcb),Hauts-de-France,2020-09-04T00:00:00.000Z,19,13.5,20.5,90,9.875,55,21
ObjectId(63e4bbd04e31320bce166dcc),Hauts-de-France,2020-09-05T00:00:00.000Z,19,11.5,10.5,82,10,58,143
ObjectId(63e4bbd04e31320bce166dcd),Hauts-de-France,2020-09-06T00:00:00.000Z,21,11,9.5,86,10,15.5,195
ObjectId(63e4bbd04e31320bce166dce),Hauts-de-France,2020-09-07T00:00:00.000Z,20,15,14.5,82.5,9.6875,82,41
ObjectId(63e4bbd04e31320bce166dcf),Hauts-de-France,2020-09-08T00:00:00.000Z,23,13.5,17,92.5,8,41.5,75
ObjectId(63e4bbd04e31320bce166dd0),Hauts-de-France,2020-09-09T00:00:00.000Z,22,16,13,87.5,8.3125,87,155
ObjectId(63e4bbd04e31320bce166dd1),Hauts-de-France,2020-09-10T00:00:00.000Z,23,12.5,10.5,80.5,10,40,63
ObjectId(63e4bbd04e31320bce166dd2),Hauts-de-France,2020-09-11T00:00:00.000Z,21,11,12,94.5,9,13.5,52
ObjectId(63e4bbd04e31320bce166dd3),Hauts-de-France,2020-09-12T00:00:00.000Z,25.5,13,8,91.5,10,3.5,126
ObjectId(63e4bbd04e31320bce166dd4),Hauts-de-France,2020-09-13T00:00:00.000Z,29.5,15,13.5,59,10,1,8
ObjectId(63e4bbd04e31320bce166dd5),Hauts-de-France,2020-09-14T00:00:00.000Z,32,18.5,11,55.5,10,11,8
ObjectId(63e4bbd04e31320bce166dd6),Hauts-de-France,2020-09-15T00:00:00.000Z,28.5,19,15,76.5,9.875,35,179
ObjectId(63e4bbd04e31320bce166dd7),Hauts-de-France,2020-09-16T00:00:00.000Z,20.5,13,23,78.5,10,10,89
ObjectId(63e4bbd04e31320bce166dd8),Hauts-de-France,2020-09-17T00:00:00.000Z,24,10,22,81,10,1.5,94
ObjectId(63e4bbd04e31320bce166dd9),Hauts-de-France,2020-09-18T00:00:00.000Z,23.5,16,17,83,9.875,44.5,88
ObjectId(63e4bbd04e31320bce166dda),Hauts-de-France,2020-09-19T00:00:00.000Z,25,16.5,13.5,85,9.9375,34.5,173
